Product line Hitlist sequence,Product Line,Product Family,Product Model,Facility Name,Part No,Description,Net QTY, Overstock Unit Price 
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10681565-001,"Riser Joint Assembly;FT-H;OD 21"";L 25 ft;Wall 0.938 in;Pup Assembly;Cert ABS;ChokeOD 6.5 in",2,"$139,657.77 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10681558-001,"Riser Joint Assembly;FT-H;OD 21"";L 15 ft;Wall 0.938 in;Pup Assembly;Cert ABS;ChokeOD 6.5 in",2,"$127,579.68 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10682699-001,"Riser Joint Assembly;FT-H;OD 21"";L 75 ft;Wall 0.938 in;Slick Assembly;Cert ABS;ChokeOD 6.5 in",13,"$148,243.08 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10682703-001,"Riser Joint Assembly;FT-H;OD 21"";L 50 ft;Wall 0.938 in;Slick Assembly;Cert ABS;ChokeOD 6.5 in",2,"$143,950.42 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10809820-001,"Component, Riser Adapter;Main Body;Finish Machine;Main Body;FT-H;Rating 10000 psi;No Inlay",3,"$121,922.38 "
,Riser,Marine Riser - Flange Type,"RISER, HFT",West Little York,10634460-001,Make-Up Assembly;FT-H;Hydraulic;Tool Kit,1,"$47,282.14 "
,Riser,Marine Riser - Flange Type,"RISER, FT-H",West Little York,10664783-002,"Landing Joint Assembly, Riser;FT-H;OD 21"";L 75 ft;Wall 0.938 in;Landing Assembly;Cert ABS;No API Monogram",2,"$78,170.96 "
,Riser,Marine Riser - Dog Type,,Houston Repair Center,11367580-001,Kit;Retrofit;FT-H DG HANDS FREE GOOSENECK RETROFIT KIT;Riser;FT-H DG,1,"$67,295 "
,Riser,,,Houston Repair Center,10604792-200,"Flange, Proprietary;FLG, TAIL ROD, 7-15M, C&K/BSTR, HFGN, FM;Riser",3,"$29,039 "
,Riser,,,South Africa Repair Center,10629592-001,"Component, ToolFT-HRunning ToolCylinderFinish Mach",1,"$18,401 "
,Riser,,,Norway Repair Center,11416676-003,"Valve, Control;Proportional;Max 350 bars;Conn 1 S",12,"$11,677 "
,Riser,,,Montrose Repair Center,10955749-001,"Box, RiserFinish MachineFT-GChokeKill, Auxiliary L",5,"$6,192 "
,Riser,,,Montrose Repair Center,10967244-001,"BOOSTER LINE BOX, 4.0""ID, 7500psi",5,"$3,436 "
,Riser ,,,Norway Repair Center,81788+71,SUPPORT BEARING,15,"$4,479 "
,Riser ,,,Norway Repair Center,81788+71,"Bearing, Roller ElementTapered RollerID 360 mmOD 480 mmW 76 mmDL Rtg 1260000 NSL Rtg 2370000 N1430 RPMrevmin ",6,"$4,479 "
31,Rotary Tables,,,Galena Park,10165578-001,"NOV;ROTARY DRIVE, INDPT, SHAI,;Use On Land Rigs, Drilling",1,"$33,650.00 "
,Rotary Tables,Rotary Support Tables,,Galena Park,17939796-001,"Rotary Support Table;RST375;Rating 500 sTon / 453.6 tonne;Without Slip Ring;Standard Topcover;-;PSL API 7K Latest Edition;RST375-L, PSF14 cntl & AEx config",1,"$188,820.00 "
,Rotary Tables,Drilling Rotary Tables,,Galena Park,11355788-001,Customer Specified Equipment;ROTARY TABLE 37-1/2in;Rotary Tables;ZP 375;LS-PETRO EQUIPMENT ENGINEER COMPMANY LTD.,2,"$100,620.00 "
,Rotary Tables,Drilling Rotary Tables,,Galena Park,10076638-001,"Motor Assembly;Assembly, Installation, A/C, Disc Brake;Rotary Tables;400 HP",2,"$48,600.00 "
32,Top Drives,Small Top Drives,TDS-11SA,Galena Park,17974804-001,"Package;KIT, SERVICE LOOP, 2000HP RIG;GALENA PARK;TDS-11SA",1,"$35,756.00 "
,Top Drives,,,Mexicali,10451853-001,Engine;Basic;Cummins;115;T3;Air Controls;Power Swivel,1,"$21,570.00 "
,Top Drives,Small Top Drives - electric (<=500 tons),TDS-10,West Little York,10473127-001,"Wire Cable Assembly;VFD PWR, 313MCM, 200 ft., Masked Conn., Both Ends;Service Loop,Composite,Connectorized;Armored;Top Drives;TDS-10",1,"$32,961.00 "
,Top Drives,Large Top Drives - electric (>500 tons),,West Little York,10732270-001,Rotating Link Adapter;Casting;Custom Ton;1500 TON;ABS,1,"$19,887.00 "
,Top Drives,Large Top Drives - electric (>500 tons),TDX-1500,West Little York,10726326-001,"Main Body;TDX-1500;No Classification/Verification Society;MinDsgn -20 °C;Custom Ton;Casting, Tonnage Is 1500T, Needs LOV Option",1,"$43,934.00 "
,Top Drives,Large Top Drives - electric (>500 tons),TDX-1250,West Little York,10456775-001,"Main Body;TDX-1250;No Classification/Verification Society;MinDsgn -20 °C;1250 Ton;Casting, API 8C PSL1",4,"$76,220.00 "
,Top Drives,,,Houston Repair Center,10455663-002,"IBOP;Assembly, Stack, DNV;TDX-1250",1,"$240,857 "
,Top Drives,UNCLASSIFIED,,Houston Repair Center,16604785-002,"Grip Head;HR;4.25 in;To 14 in;SWL 15 tonne;Generic gripper, mech only. ABS+DNV",1,"$150,168 "
,Top Drives,,,Houston Repair Center,10480468-001,"Arm;Weldment, Tilt;Top Drives;PH203",1,"$72,124 "
,Top Drives,,,Houston Repair Center,10380644-001,"Kit;General;Oil Circulation, 5HP-UL;Top Drives;TDS-8SA, TDS-8",1,"$47,619 "
,Top Drives,,,Houston Repair Center,18373890-001,"Kit;Retrofit;Oil Circulation, 4PH-Atex Cert Motor;Top Drives;TDS-8SA",1,"$42,816 "
,Top Drives,,,Houston Repair Center,17921697-001,"Kit;Installation;Assembly, Oil Circulating, 45C, 460VAC;Top Drives;TDS-8SA",1,"$38,673 "
,Top Drives,,,Houston Repair Center,10358215-001,"Gear, Proprietary;Assembly, Compound;z 50;PD 17.63 in;Top Drives;TDS-8SA",1,"$38,105 "
,Top Drives,,,Houston Repair Center,10480418-002,Torque Tube;Front Leg PH-203;TDX-1000,1,"$37,018 "
,Top Drives,,,Houston Repair Center,10455572-001,"IBOP;Assembly, NC77 Box x NC77 Pin, ABS;TDX-1250;ID 4in w/Modified Body, Hi-Kalibre/8163 SDC Series",1,"$32,063 "
,Top Drives,,,Houston Repair Center,10355378-001,"Enclosure, Proprietary;Assembly, J-Box, Drill Motor Power, 444MCM;Wall Mounted;37.40 x 25.59 x 8.58 in;Matl Stainless Steel;Top Drives;TDS-8S;IP66",1,"$31,782 "
,Top Drives,,,Houston Repair Center,10455307-007,"S-Pipe;Kit;Right-Hand as Viewed from Well Center;7500 PSI;Large Bore;MinDsgn -20 °C;No Classification/Verification Society;5"" Female,1002",1,"$30,454 "
,Top Drives,,,Houston Repair Center,10482120-001,"Kit;General;Cable, Incoming PWR, Masked Connectors, 100ft;Top Drives;TDS-9S, 11SA, 11SH",1,"$29,243 "
,Top Drives,,,Houston Repair Center,10381890-001,S-Pipe;Weldment;Left-Hand as Viewed from Well Center;7500 PSI;Large Bore;MinDsgn -20 °C;ABS;TDX-1250,2,"$25,621 "
,Top Drives,,,Houston Repair Center,10470950-003,"Link, Proprietary;System;Top Drives;TDS-11SA;Matl MS00010",2,"$23,224 "
,Top Drives,,,Houston Repair Center,10139383-001,"Support;Spring, Machining;Overhead/Traveling Equipment;DYNAPLEX-5750",1,"$12,033 "
,Top Drives,,,Houston Repair Center,10447800-002,"Bracket, Proprietary;Connector;Top Drives;TDS-9S, TDS-11S",5,"$3,670 "
,TopDrive,,,Montrose Repair Center,16685418-005,KIT;UPGRADE;TDS-11SAE; USING DUAL 777MCM SER LOOP,1,"$338,049 "
,TopDrive,,,Montrose Repair Center,116199-INV,INVERTER,1,"$133,033 "
,TopDrive,Rebuilt/Refurbished,,Montrose Repair Center,124221-2S2DO-RC,"HOUSE,CONTROL, 50HZ,DUAL AC (RECON)",1,"$108,306 "
,TopDrive,Rebuilt/Refurbished,,Montrose Repair Center,124221-2S2DO-RC,"HOUSE,CONTROL, 50HZ,DUAL AC (RECON)",1,"$108,306 "
,TopDrive,Rebuilt/Refurbished,,Montrose Repair Center,10832985-003-RC,TDX1250 GRIPPER ASSY,1,"$58,585 "
,TopDrive,,,Montrose Repair Center,116622,"GEAR,BULL""HELICAL QUIET""TDS-4H  (P)",1,"$45,673 "
,TopDrive,,,Montrose Repair Center,30150610-100,"KIT,CABLE ,JUMPER",1,"$42,507 "
,TopDrive,Rebuilt/Refurbished,,Montrose Repair Center,G1612513-RC,OS CRANE MAIN/WHIP HOIST WINCH (REFURBISHED),2,"$39,620 "
,TopDrive,,,Montrose Repair Center,30182026-2,"KIT,SPARES,OPERATIONAL,ABB VFD",1,"$38,870 "
,TopDrive,,,Montrose Repair Center,30116445,"FLANGE,SWIVEL (MACHINING) 650TON,10 PORT",1,"$26,326 "
,TopDrive,,,Montrose Repair Center,126154-2,"SPARES KIT, AR3200C MECH., OPERATIONAL",1,"$19,735 "
,TopDrive,,,Montrose Repair Center,116199-107A,"CONVERTER, 50HZ, AC TO AC",1,"$19,602 "
,TopDrive,Rebuilt/Refurbished,,Montrose Repair Center,124673-500-RC,"STEM,ROTATING LINK ADAPTER-RECON",1,"$14,748 "
,TopDrive,,,Norway Repair Center,36702+71,"HPS ROTATING HEAD,ROTATING SWING SWIVEL",2,"$12,164 "
,TopDrive,,,Montrose Repair Center,90288-1,PH85 TORQ TUBE 31/2 IFBOP,1,"$12,107 "
,TopDrive,,,Montrose Repair Center,81887,Kit;General;Gearbox Assembly Reducer Helical Gear;Pipe Handling;PHM-3i,1,"$11,835 "
,TopDrive,,,Montrose Repair Center,116199-38,"6.8 KVA CONTROL TRANSFORMER TDS-9S, SOH=0 SEE TEXT",1,"$11,765 "
,TopDrive,Rebuilt/Refurbished,,Montrose Repair Center,118217-40L69-RC,"RECOND, (MT)MOTOR,AC,400HP,575V,HELICAL,ASSY,TDS",1,"$11,293 "
,TopDrive,Rebuilt/Refurbished,,Montrose Repair Center,118217-40R69-RC,"RECOND, (MT)MOTOR,AC,400HP,575V,HELICAL,ASSY,TDS",1,"$11,186 "
,TopDrive,,,Montrose Repair Center,116199-42,SIEMENS AC 575V DB CHOPPER **OBS NO REPLACEMENT**,4,"$8,069 "
,TopDrive,,,Montrose Repair Center,116199-76,"CUCV BOARD, AC INVERTER SIEMENS",8,"$6,884 "
,TopDrive,,,Montrose Repair Center,35557027,FLOW SWITCH C/W BRACKET (ATEX EQUIV OF 35556693),2,"$6,782 "
,TopDrive,,,Montrose Repair Center,122627-47,"REMOTE-I/O,4ANALOG, SOH=0, OBS W/NO REPLACEMENT",3,"$4,439 "
,TopDrive,,,Montrose Repair Center,140244-2,"PLC-8-CHANNEL, 4-20 MA OTPT",4,"$4,271 "
,TopDrive,,,Norway Repair Center,152706+71,BONDURA BOLT,8,"$1,545 "
,TopDrive,,,Norway Repair Center,XD119140052,TATIC BEARING SLEEVE,16,$805 
